sample	stage
E11.0_T2_3514.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3516.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3516.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3519.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3519.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3520.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3520.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3521.BATCH150619_BHN2LTADXX.LANE1	T2_pre_HSC
E11.0_T2_3521.BATCH150619_BHN2LTADXX.LANE2	T2_pre_HSC
E11.0_T2_3522.BATCH150529_AHN25NADXX.LANE1	T2_pre_HSC
E11.0_T2_3522.BATCH150529_AHN25NADXX.LANE2	T2_pre_HSC
E11.0_T2_3523.BATCH150529_AHN25NADXX.LANE1	T2_pre_HSC
E11.0_T2_3523.BATCH150529_AHN25NADXX.LANE2	T2_pre_HSC
E11.0_T2_3525.BATCH150529_AHN25NADXX.LANE1	T2_pre_HSC
E11.0_T2_3525.BATCH150529_AHN25NADXX.LANE2	T2_pre_HSC
E12.5_FL_3103.BATCH141119_0215.LANE2	E12
E12.5_FL_3105.BATCH141119_0215.LANE2	E12
E12.5_FL_3106.BATCH141119_0215.LANE2	E12
E12.5_FL_3107.BATCH141119_0215.LANE2	E12
E12.5_FL_3108.BATCH141119_0215.LANE2	E12
E12.5_FL_3110.BATCH141119_0215.LANE2	E12
E12.5_FL_3111.BATCH141119_0215.LANE2	E12
E12.5_FL_3112.BATCH141119_0215.LANE2	E12
E12.5_FL_3113.BATCH141119_0215.LANE2	E12
E12.5_FL_3114.BATCH141119_0215.LANE2	E12
E12.5_FL_3115.BATCH141119_0215.LANE2	E12
E12.5_FL_3116.BATCH141119_0215.LANE2	E12
E12.5_FL_3118.BATCH141119_0215.LANE2	E12
E12.5_FL_3119.BATCH141119_0215.LANE2	E12
E12.5_FL_3121.BATCH141119_0215.LANE2	E12
E12.5_FL_3123.BATCH141119_0215.LANE2	E12
E12.5_FL_3125.BATCH141119_0215.LANE2	E12
E12.5_FL_3126.BATCH141119_0215.LANE2	E12
E12.5_FL_3127.BATCH141119_0215.LANE2	E12
E12.5_FL_3128.BATCH141119_0215.LANE2	E12
E12.5_FL_3129.BATCH141119_0215.LANE2	E12
E14.5_FL_3301.BATCH141203_0227.LANE1	E14
E14.5_FL_3301.BATCH141203_0227.LANE2	E14
E14.5_FL_3302.BATCH141203_0227.LANE1	E14
E14.5_FL_3302.BATCH141203_0227.LANE2	E14
E14.5_FL_3303.BATCH141203_0227.LANE1	E14
E14.5_FL_3303.BATCH141203_0227.LANE2	E14
E14.5_FL_3304.BATCH141203_0227.LANE1	E14
E14.5_FL_3304.BATCH141203_0227.LANE2	E14
E14.5_FL_3305.BATCH141203_0227.LANE1	E14
E14.5_FL_3305.BATCH141203_0227.LANE2	E14
E14.5_FL_3306.BATCH141203_0227.LANE1	E14
E14.5_FL_3306.BATCH141203_0227.LANE2	E14
E14.5_FL_3307.BATCH141203_0227.LANE1	E14
E14.5_FL_3307.BATCH141203_0227.LANE2	E14
E14.5_FL_3308.BATCH141203_0227.LANE1	E14
E14.5_FL_3308.BATCH141203_0227.LANE2	E14
E14.5_FL_3309.BATCH141203_0227.LANE1	E14
E14.5_FL_3309.BATCH141203_0227.LANE2	E14
E14.5_FL_3310.BATCH141203_0227.LANE1	E14
E14.5_FL_3310.BATCH141203_0227.LANE2	E14
E14.5_FL_3311.BATCH141203_0227.LANE1	E14
E14.5_FL_3311.BATCH141203_0227.LANE2	E14
E14.5_FL_3312.BATCH141203_0227.LANE1	E14
E14.5_FL_3312.BATCH141203_0227.LANE2	E14
E14.5_FL_3314.BATCH141203_0227.LANE1	E14
E14.5_FL_3314.BATCH141203_0227.LANE2	E14
E14.5_FL_3315.BATCH141203_0227.LANE1	E14
E14.5_FL_3315.BATCH141203_0227.LANE2	E14
E14.5_FL_3316.BATCH141203_0227.LANE1	E14
E14.5_FL_3316.BATCH141203_0227.LANE2	E14
E14.5_FL_3319.BATCH141203_0227.LANE1	E14
